inputID,input,isEmpty,getSize,getAll,getFirst,getSecondLast,getLast,avg
16,"[3, 8, 5, 3, 6, 7, 7, 1, 5, 8, 4, 0, 7, 6, 5, 2, 3, 2, 7, 8]",,,"[3, 8, 5, 3, 6, 7, 7, 1, 5, 8, 4, 0, 7, 6, 5, 2, 3, 2, 7, 8]",3,8,8,4.85
17,"[5, 4, 1, 3, 9, 5, 9, 0, 6, 9, 9, 6, 5]",,,"[5, 4, 1, 3, 9, 5, 9, 0, 6, 9, 9, 6, 5]",5,5,5,5.461538461538462
18,"[9, 6, 4, 1, 1, 8, 8, 5, 2, 4, 3, 1, 0]",,,"[9, 6, 4, 1, 1, 8, 8, 5, 2, 4, 3, 1, 0]",9,0,0,4.0
19,"[5, 3, 9, 0, 8, 2, 6, 7, 9, 0, 5, 1, 6, 5]",,,"[5, 3, 9, 0, 8, 2, 6, 7, 9, 0, 5, 1, 6, 5]",5,5,5,4.714285714285714
20,"[4, 5, 1, 4, 2]",,,"[4, 5, 1, 4, 2]",4,2,2,3.2
21,"[8, 4, 7, 9, 9]",,,"[8, 4, 7, 9, 9]",8,9,9,7.4
22,"[1, 9, 2, 7, 8, 2, 6, 5, 0, 7, 6, 3, 4, 6, 5, 9, 3, 0, 7]",,,"[1, 9, 2, 7, 8, 2, 6, 5, 0, 7, 6, 3, 4, 6, 5, 9, 3, 0, 7]",1,7,7,4.7368421052631575
23,"[0, 4, 6, 2, 0, 8, 9, 9]",,,"[0, 4, 6, 2, 0, 8, 9, 9]",0,9,9,4.75
24,"[2, 4, 6, 1, 6, 2, 6, 7, 4, 4, 8, 7, 3, 9, 9, 6, 7, 8]",,,"[2, 4, 6, 1, 6, 2, 6, 7, 4, 4, 8, 7, 3, 9, 9, 6, 7, 8]",2,8,8,5.5
25,"[6, 3, 8]",,,"[6, 3, 8]",6,8,8,5.666666666666667
26,"[4, 6, 4, 0, 5, 8, 1, 9, 7, 8, 8, 6, 3, 5, 5]",,,"[4, 6, 4, 0, 5, 8, 1, 9, 7, 8, 8, 6, 3, 5, 5]",4,5,5,5.266666666666667
27,"[9, 1, 0, 7]",,,"[9, 1, 0, 7]",9,7,7,4.25
28,"[2, 5, 7, 6, 6, 0, 3, 5, 4, 4, 0, 3]",,,"[2, 5, 7, 6, 6, 0, 3, 5, 4, 4, 0, 3]",2,3,3,3.75
29,"[6, 0, 4, 2, 6, 9, 5, 3, 7, 5, 0, 1, 9, 7, 8, 5]",,,"[6, 0, 4, 2, 6, 9, 5, 3, 7, 5, 0, 1, 9, 7, 8, 5]",6,5,5,4.8125
30,"[8, 8, 1, 6, 2, 6, 9, 4, 2, 9, 9]",,,"[8, 8, 1, 6, 2, 6, 9, 4, 2, 9, 9]",8,9,9,5.818181818181818
31,"[9, 6, 8, 8, 7, 1, 7, 6, 8, 4, 9, 3, 4, 3, 4, 3, 8, 3, 6]",,,"[9, 6, 8, 8, 7, 1, 7, 6, 8, 4, 9, 3, 4, 3, 4, 3, 8, 3, 6]",9,6,6,5.631578947368421
32,"[2, 7, 7, 0, 5, 4, 2]",,,"[2, 7, 7, 0, 5, 4, 2]",2,2,2,3.857142857142857
33,"[9, 7, 9, 6, 3, 3, 4, 0, 8, 9, 2, 0, 1, 4, 0]",,,"[9, 7, 9, 6, 3, 3, 4, 0, 8, 9, 2, 0, 1, 4, 0]",9,0,0,4.333333333333333
34,"[6, 8, 0, 9, 4, 6, 4, 8, 7, 9, 5, 2, 5, 7, 0, 6]",,,"[6, 8, 0, 9, 4, 6, 4, 8, 7, 9, 5, 2, 5, 7, 0, 6]",6,6,6,5.375
35,"[6, 6, 2, 9, 8, 7, 8, 4, 0, 7, 7, 2, 0, 7, 7, 2, 5]",,,"[6, 6, 2, 9, 8, 7, 8, 4, 0, 7, 7, 2, 0, 7, 7, 2, 5]",6,5,5,5.117647058823529
36,"[4, 0, 2, 1, 9]",,,"[4, 0, 2, 1, 9]",4,9,9,3.2
37,"[1, 1, 7, 8, 5, 5, 1, 4, 4, 8, 2, 4, 3, 0, 9, 8, 2, 4]",,,"[1, 1, 7, 8, 5, 5, 1, 4, 4, 8, 2, 4, 3, 0, 9, 8, 2, 4]",1,4,4,4.222222222222222
38,"[3, 8, 2, 0, 0, 3, 5, 9, 8, 9]",,,"[3, 8, 2, 0, 0, 3, 5, 9, 8, 9]",3,9,9,4.7
39,"[3, 2, 2, 8, 5, 2, 8, 1, 3, 0]",,,"[3, 2, 2, 8, 5, 2, 8, 1, 3, 0]",3,0,0,3.4
40,"[6, 7, 5, 4, 4, 2, 7, 1, 4, 8, 9, 7, 1, 4, 2, 2, 1, 4, 1]",,,"[6, 7, 5, 4, 4, 2, 7, 1, 4, 8, 9, 7, 1, 4, 2, 2, 1, 4, 1]",6,1,1,4.157894736842105
41,"[2, 9, 8, 9, 9, 0, 7, 5, 1, 8, 8, 9, 0, 5]",,,"[2, 9, 8, 9, 9, 0, 7, 5, 1, 8, 8, 9, 0, 5]",2,5,5,5.714285714285714
42,[2],,,[2],2,2,2,2.0
43,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
44,"[5, 8, 2, 1, 9, 4, 7, 9, 3, 8]",,,"[5, 8, 2, 1, 9, 4, 7, 9, 3, 8]",5,8,8,5.6
45,"[8, 1, 1, 0, 5, 6, 6, 3, 5, 0, 3, 3, 5, 1, 5, 2, 2, 4, 9, 4]",,,"[8, 1, 1, 0, 5, 6, 6, 3, 5, 0, 3, 3, 5, 1, 5, 2, 2, 4, 9, 4]",8,4,4,3.65
46,"[3, 6, 5]",,,"[3, 6, 5]",3,5,5,4.666666666666667
47,"[3, 0, 1, 7, 9, 9, 5, 0, 6, 2, 5, 3, 3, 3, 3, 8, 6, 0, 1]",,,"[3, 0, 1, 7, 9, 9, 5, 0, 6, 2, 5, 3, 3, 3, 3, 8, 6, 0, 1]",3,1,1,3.8947368421052633
48,"[9, 0, 1, 7, 6, 5, 4, 1, 4, 2, 7]",,,"[9, 0, 1, 7, 6, 5, 4, 1, 4, 2, 7]",9,7,7,4.181818181818182
49,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
50,"[1, 6, 4, 8, 3, 7, 1, 7, 3, 7, 3, 6, 9, 4, 4, 2, 1]",,,"[1, 6, 4, 8, 3, 7, 1, 7, 3, 7, 3, 6, 9, 4, 4, 2, 1]",1,1,1,4.470588235294118
51,"[6, 2, 9, 9, 0, 2, 3, 1, 2, 5, 6]",,,"[6, 2, 9, 9, 0, 2, 3, 1, 2, 5, 6]",6,6,6,4.090909090909091
52,"[6, 9, 4, 1, 5, 7, 6, 6, 9, 2]",,,"[6, 9, 4, 1, 5, 7, 6, 6, 9, 2]",6,2,2,5.5
53,"[9, 8, 3, 4]",,,"[9, 8, 3, 4]",9,4,4,6.0
54,"[1, 1, 7, 0, 0, 4, 4, 3, 9, 8, 8, 9, 2, 4, 5, 2, 9, 9, 8, 1]",,,"[1, 1, 7, 0, 0, 4, 4, 3, 9, 8, 8, 9, 2, 4, 5, 2, 9, 9, 8, 1]",1,1,1,4.7
55,"[5, 1, 8, 2, 3, 5, 1, 3, 2, 2]",,,"[5, 1, 8, 2, 3, 5, 1, 3, 2, 2]",5,2,2,3.2
56,"[7, 0, 9, 2, 3, 1, 0, 4, 7, 2, 1, 0, 9, 6]",,,"[7, 0, 9, 2, 3, 1, 0, 4, 7, 2, 1, 0, 9, 6]",7,6,6,3.642857142857143
57,"[6, 9, 9, 4, 6, 8, 9, 1, 2, 3, 4, 1, 9, 7, 1, 7, 8, 0, 3]",,,"[6, 9, 9, 4, 6, 8, 9, 1, 2, 3, 4, 1, 9, 7, 1, 7, 8, 0, 3]",6,3,3,5.105263157894737
58,"[9, 4, 7, 1, 2, 2]",,,"[9, 4, 7, 1, 2, 2]",9,2,2,4.166666666666667
59,"[7, 3, 5, 7, 8, 1, 9, 3, 1, 3, 2]",,,"[7, 3, 5, 7, 8, 1, 9, 3, 1, 3, 2]",7,2,2,4.454545454545454
60,"[5, 7, 3, 4, 8, 6, 3]",,,"[5, 7, 3, 4, 8, 6, 3]",5,3,3,5.142857142857143
61,"[7, 3, 3, 9, 0]",,,"[7, 3, 3, 9, 0]",7,0,0,4.4
62,"[5, 7, 5, 8, 3, 8, 8, 0, 8, 2, 4, 6, 7]",,,"[5, 7, 5, 8, 3, 8, 8, 0, 8, 2, 4, 6, 7]",5,7,7,5.461538461538462
63,"[8, 2, 8, 9, 0, 0, 6, 5, 0, 7, 0, 7, 2, 1]",,,"[8, 2, 8, 9, 0, 0, 6, 5, 0, 7, 0, 7, 2, 1]",8,1,1,3.9285714285714284
64,"[4, 0, 3, 2, 4, 1, 9, 4, 7, 2, 4, 0, 5, 6, 3, 7, 6, 6, 4]",,,"[4, 0, 3, 2, 4, 1, 9, 4, 7, 2, 4, 0, 5, 6, 3, 7, 6, 6, 4]",4,4,4,4.052631578947368
65,"[5, 7, 9, 0, 4, 9, 3, 9, 1, 4]",,,"[5, 7, 9, 0, 4, 9, 3, 9, 1, 4]",5,4,4,5.1
66,"[5, 9]",,,"[5, 9]",5,9,9,7.0
67,"[0, 8, 7, 8, 8, 0, 1, 5, 0, 0, 9, 8, 0, 2]",,,"[0, 8, 7, 8, 8, 0, 1, 5, 0, 0, 9, 8, 0, 2]",0,2,2,4.0
68,"[6, 7, 6, 2, 6, 4, 6, 8, 1]",,,"[6, 7, 6, 2, 6, 4, 6, 8, 1]",6,1,1,5.111111111111111
69,"[9, 7, 9, 6, 8, 7, 4, 3]",,,"[9, 7, 9, 6, 8, 7, 4, 3]",9,3,3,6.625
70,"[7, 0, 6, 6, 9, 6, 8, 4, 7, 0, 4, 3, 1, 8, 6, 1, 1]",,,"[7, 0, 6, 6, 9, 6, 8, 4, 7, 0, 4, 3, 1, 8, 6, 1, 1]",7,1,1,4.529411764705882
71,"[9, 7, 6, 3, 8, 8, 7, 6, 9, 5, 7, 0, 8, 1, 6, 9, 8, 8]",,,"[9, 7, 6, 3, 8, 8, 7, 6, 9, 5, 7, 0, 8, 1, 6, 9, 8, 8]",9,8,8,6.388888888888889
72,"[6, 1]",,,"[6, 1]",6,1,1,3.5
73,"[7, 6]",,,"[7, 6]",7,6,6,6.5
74,"[5, 8, 8, 8, 0, 5, 4, 3, 3, 2, 5, 3, 6, 0, 4, 2, 2, 2]",,,"[5, 8, 8, 8, 0, 5, 4, 3, 3, 2, 5, 3, 6, 0, 4, 2, 2, 2]",5,2,2,3.888888888888889
75,"[9, 8, 1, 3, 0, 6, 2, 3]",,,"[9, 8, 1, 3, 0, 6, 2, 3]",9,3,3,4.0
76,"[9, 0, 2, 9, 7, 7, 4, 2, 2]",,,"[9, 0, 2, 9, 7, 7, 4, 2, 2]",9,2,2,4.666666666666667
77,"[9, 4]",,,"[9, 4]",9,4,4,6.5
78,"[1, 4, 2, 4, 9, 5, 3, 7]",,,"[1, 4, 2, 4, 9, 5, 3, 7]",1,7,7,4.375
79,"[9, 2, 2, 7]",,,"[9, 2, 2, 7]",9,7,7,5.0
80,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
81,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
82,"[1, 3, 3, 1, 6, 9, 0, 9, 7, 0]",,,"[1, 3, 3, 1, 6, 9, 0, 9, 7, 0]",1,0,0,3.9
83,"[9, 7, 4, 0, 4, 1, 1, 3, 1, 3, 1, 2, 8, 2]",,,"[9, 7, 4, 0, 4, 1, 1, 3, 1, 3, 1, 2, 8, 2]",9,2,2,3.2857142857142856
84,"[9, 6, 1, 1, 6, 9, 6, 2, 0, 9, 8]",,,"[9, 6, 1, 1, 6, 9, 6, 2, 0, 9, 8]",9,8,8,5.181818181818182
85,"[2, 0, 7, 4, 1, 2, 1, 6, 0, 7, 3, 6, 6, 0, 2, 5, 9]",,,"[2, 0, 7, 4, 1, 2, 1, 6, 0, 7, 3, 6, 6, 0, 2, 5, 9]",2,9,9,3.588235294117647
86,[8],,,[8],8,8,8,8.0
87,"[9, 3, 9, 6, 9, 3, 3, 6, 2, 2, 1, 7, 4, 3, 1, 8]",,,"[9, 3, 9, 6, 9, 3, 3, 6, 2, 2, 1, 7, 4, 3, 1, 8]",9,8,8,4.75
88,"[6, 3, 7, 1, 2, 4, 2, 4, 4, 8, 4, 7, 7, 9, 2, 6, 5]",,,"[6, 3, 7, 1, 2, 4, 2, 4, 4, 8, 4, 7, 7, 9, 2, 6, 5]",6,5,5,4.764705882352941
89,"[1, 8, 7, 7, 7, 0, 6, 6, 2, 1, 3, 2, 8, 5, 0, 7, 5, 5, 8, 2]",,,"[1, 8, 7, 7, 7, 0, 6, 6, 2, 1, 3, 2, 8, 5, 0, 7, 5, 5, 8, 2]",1,2,2,4.5
90,"[4, 5, 0]",,,"[4, 5, 0]",4,0,0,3.0
91,"[6, 1, 4, 3, 3, 9, 3, 8, 4, 4, 9]",,,"[6, 1, 4, 3, 3, 9, 3, 8, 4, 4, 9]",6,9,9,4.909090909090909
92,"[8, 0, 5, 4, 3, 8, 3, 1, 2, 5]",,,"[8, 0, 5, 4, 3, 8, 3, 1, 2, 5]",8,5,5,3.9
93,"[8, 8, 6, 7, 0, 0, 6, 5, 0, 9, 5, 5]",,,"[8, 8, 6, 7, 0, 0, 6, 5, 0, 9, 5, 5]",8,5,5,4.916666666666667
94,"[4, 2, 0, 6, 6, 9, 5, 3, 7, 0, 4, 4, 6, 2, 5, 1, 3, 3, 0]",,,"[4, 2, 0, 6, 6, 9, 5, 3, 7, 0, 4, 4, 6, 2, 5, 1, 3, 3, 0]",4,0,0,3.6842105263157894
95,"[7, 6, 9, 9, 5, 0]",,,"[7, 6, 9, 9, 5, 0]",7,0,0,6.0
96,"[5, 6, 8]",,,"[5, 6, 8]",5,8,8,6.333333333333333
97,"[3, 9, 6, 6, 3, 3, 1, 8, 2, 7, 7, 6]",,,"[3, 9, 6, 6, 3, 3, 1, 8, 2, 7, 7, 6]",3,6,6,5.083333333333333
98,"[3, 4, 3, 1, 9, 9, 9, 7, 3, 1, 4, 0, 4, 1, 4, 9, 6, 5]",,,"[3, 4, 3, 1, 9, 9, 9, 7, 3, 1, 4, 0, 4, 1, 4, 9, 6, 5]",3,5,5,4.555555555555555
99,"[7, 3, 4, 3, 6, 1, 3, 1, 5, 5, 7, 7, 8, 9, 7, 2, 3, 0]",,,"[7, 3, 4, 3, 6, 1, 3, 1, 5, 5, 7, 7, 8, 9, 7, 2, 3, 0]",7,0,0,4.5
100,[7],,,[7],7,7,7,7.0
101,"[7, 1, 1, 4, 8, 5, 4, 0, 5, 9, 2]",,,"[7, 1, 1, 4, 8, 5, 4, 0, 5, 9, 2]",7,2,2,4.181818181818182
102,"[6, 1, 5, 8, 9, 1, 7, 3, 9, 6, 7, 2, 3]",,,"[6, 1, 5, 8, 9, 1, 7, 3, 9, 6, 7, 2, 3]",6,3,3,5.153846153846154
103,"[5, 0, 9, 8, 7, 3, 0, 3]",,,"[5, 0, 9, 8, 7, 3, 0, 3]",5,3,3,4.375
104,"[5, 9, 8, 1, 0, 8, 1, 5, 9, 7]",,,"[5, 9, 8, 1, 0, 8, 1, 5, 9, 7]",5,7,7,5.3
105,"[2, 5, 1, 3, 8, 5, 7, 3, 7, 3, 9, 8, 1]",,,"[2, 5, 1, 3, 8, 5, 7, 3, 7, 3, 9, 8, 1]",2,1,1,4.769230769230769
106,"[2, 1, 9, 6, 4, 9, 9, 6, 1, 7, 8]",,,"[2, 1, 9, 6, 4, 9, 9, 6, 1, 7, 8]",2,8,8,5.636363636363637
107,"[7, 6, 2, 9, 3, 2, 9, 3, 2, 0, 3, 3, 5, 4, 4, 3, 9, 7, 1]",,,"[7, 6, 2, 9, 3, 2, 9, 3, 2, 0, 3, 3, 5, 4, 4, 3, 9, 7, 1]",7,1,1,4.315789473684211
108,"[8, 7, 3, 7, 4, 9, 6, 1, 8, 6, 4, 4]",,,"[8, 7, 3, 7, 4, 9, 6, 1, 8, 6, 4, 4]",8,4,4,5.583333333333333
109,"[7, 2, 9, 3, 4, 9, 5, 7, 7, 4, 4, 5]",,,"[7, 2, 9, 3, 4, 9, 5, 7, 7, 4, 4, 5]",7,5,5,5.5
110,"[0, 1, 1, 7, 6, 4, 2, 9, 5, 9, 1, 6, 7, 2, 1]",,,"[0, 1, 1, 7, 6, 4, 2, 9, 5, 9, 1, 6, 7, 2, 1]",0,1,1,4.066666666666666
111,"[0, 2, 0, 3, 0, 9, 9, 9, 4, 0, 2, 8, 3, 6]",,,"[0, 2, 0, 3, 0, 9, 9, 9, 4, 0, 2, 8, 3, 6]",0,6,6,3.9285714285714284
112,"[0, 7, 7, 3, 4]",,,"[0, 7, 7, 3, 4]",0,4,4,4.2
113,"[9, 0, 2, 7, 1, 2]",,,"[9, 0, 2, 7, 1, 2]",9,2,2,3.5
114,"[0, 2, 7, 5, 8, 1, 8, 0, 4, 6, 5, 0, 0, 0]",,,"[0, 2, 7, 5, 8, 1, 8, 0, 4, 6, 5, 0, 0, 0]",0,0,0,3.2857142857142856
115,"[8, 1, 6, 4, 4, 9, 6, 0]",,,"[8, 1, 6, 4, 4, 9, 6, 0]",8,0,0,4.75
116,"[9, 1, 4, 1]",,,"[9, 1, 4, 1]",9,1,1,3.75
117,"[3, 9, 2, 9, 6, 2]",,,"[3, 9, 2, 9, 6, 2]",3,2,2,5.166666666666667
118,"[0, 2, 2, 9, 2, 3, 0]",,,"[0, 2, 2, 9, 2, 3, 0]",0,0,0,2.5714285714285716
119,"[4, 4, 6, 1, 3, 5, 3, 4, 4, 6, 8, 2, 3, 1, 1, 8, 5, 9, 4, 9]",,,"[4, 4, 6, 1, 3, 5, 3, 4, 4, 6, 8, 2, 3, 1, 1, 8, 5, 9, 4, 9]",4,9,9,4.5
120,"[6, 4]",,,"[6, 4]",6,4,4,5.0
121,"[1, 7, 3, 2, 6, 0, 3]",,,"[1, 7, 3, 2, 6, 0, 3]",1,3,3,3.142857142857143
122,[1],,,[1],1,1,1,1.0
123,"[7, 3, 6, 5, 1, 8, 6, 9]",,,"[7, 3, 6, 5, 1, 8, 6, 9]",7,9,9,5.625
124,"[5, 3, 4]",,,"[5, 3, 4]",5,4,4,4.0
125,"[4, 0, 0, 7, 0, 0, 9, 7, 2, 0, 6, 1, 5, 6, 1, 5, 7, 6, 9, 9]",,,"[4, 0, 0, 7, 0, 0, 9, 7, 2, 0, 6, 1, 5, 6, 1, 5, 7, 6, 9, 9]",4,9,9,4.2
126,"[0, 4, 7]",,,"[0, 4, 7]",0,7,7,3.6666666666666665
127,"[9, 5, 6, 1, 7, 9, 0, 2, 5]",,,"[9, 5, 6, 1, 7, 9, 0, 2, 5]",9,5,5,4.888888888888889
128,"[7, 6, 9, 4, 3, 7, 3]",,,"[7, 6, 9, 4, 3, 7, 3]",7,3,3,5.571428571428571
129,"[9, 8, 0, 2, 5, 6, 6, 7, 8]",,,"[9, 8, 0, 2, 5, 6, 6, 7, 8]",9,8,8,5.666666666666667
130,"[7, 3, 6, 1, 8, 9, 9, 3, 7, 1, 4, 1, 4, 3, 0]",,,"[7, 3, 6, 1, 8, 9, 9, 3, 7, 1, 4, 1, 4, 3, 0]",7,0,0,4.4
131,"[7, 4, 3, 3, 0, 4, 5, 7, 5, 9, 4, 5, 9, 2, 7]",,,"[7, 4, 3, 3, 0, 4, 5, 7, 5, 9, 4, 5, 9, 2, 7]",7,7,7,4.933333333333334
132,"[2, 6, 5, 5, 3, 3, 7, 0]",,,"[2, 6, 5, 5, 3, 3, 7, 0]",2,0,0,3.875
133,"[9, 8, 0, 0, 5, 4]",,,"[9, 8, 0, 0, 5, 4]",9,4,4,4.333333333333333
134,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
135,"[6, 0, 4, 9]",,,"[6, 0, 4, 9]",6,9,9,4.75
136,"[6, 0, 8, 9, 1, 8, 4, 5, 6, 3, 9]",,,"[6, 0, 8, 9, 1, 8, 4, 5, 6, 3, 9]",6,9,9,5.363636363636363
137,"[0, 8, 8, 0, 0, 0, 0, 9, 8]",,,"[0, 8, 8, 0, 0, 0, 0, 9, 8]",0,8,8,3.6666666666666665
138,"[2, 6, 6, 3, 9, 1, 8, 2, 4, 0, 1, 5, 9, 9, 6, 2, 3, 1, 0]",,,"[2, 6, 6, 3, 9, 1, 8, 2, 4, 0, 1, 5, 9, 9, 6, 2, 3, 1, 0]",2,0,0,4.052631578947368
139,"[2, 4, 1, 8, 9, 7, 8]",,,"[2, 4, 1, 8, 9, 7, 8]",2,8,8,5.571428571428571
140,"[6, 8, 5, 8, 2, 6, 6, 2, 1, 9]",,,"[6, 8, 5, 8, 2, 6, 6, 2, 1, 9]",6,9,9,5.3
141,"[9, 9, 2, 1, 6, 3, 3, 9, 9, 1, 1, 9, 6, 5, 8, 5, 3, 3, 6]",,,"[9, 9, 2, 1, 6, 3, 3, 9, 9, 1, 1, 9, 6, 5, 8, 5, 3, 3, 6]",9,6,6,5.157894736842105
142,"[4, 6, 4]",,,"[4, 6, 4]",4,4,4,4.666666666666667
143,"[5, 6, 9, 6, 9, 7, 7, 9, 0, 1, 5, 5, 3, 4, 2, 3]",,,"[5, 6, 9, 6, 9, 7, 7, 9, 0, 1, 5, 5, 3, 4, 2, 3]",5,3,3,5.0625
144,"[8, 5, 8, 9, 4, 5, 5, 0, 2, 2, 4, 1, 3, 2, 6, 6, 8, 7, 0]",,,"[8, 5, 8, 9, 4, 5, 5, 0, 2, 2, 4, 1, 3, 2, 6, 6, 8, 7, 0]",8,0,0,4.473684210526316
145,"[8, 1]",,,"[8, 1]",8,1,1,4.5
146,"[3, 8, 5, 8, 8, 9, 8, 5, 4, 8, 3, 5, 9, 2, 7, 9, 1]",,,"[3, 8, 5, 8, 8, 9, 8, 5, 4, 8, 3, 5, 9, 2, 7, 9, 1]",3,1,1,6.0
147,"[3, 0, 5, 2, 3, 8, 1, 6, 5]",,,"[3, 0, 5, 2, 3, 8, 1, 6, 5]",3,5,5,3.6666666666666665
148,[4],,,[4],4,4,4,4.0
149,"[6, 8, 8, 4, 4, 0, 7, 8, 7, 3, 0, 7, 5, 5, 8, 1, 1, 7, 2, 3]",,,"[6, 8, 8, 4, 4, 0, 7, 8, 7, 3, 0, 7, 5, 5, 8, 1, 1, 7, 2, 3]",6,3,3,4.7
150,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
151,"[5, 3, 1]",,,"[5, 3, 1]",5,1,1,3.0
152,"[4, 6, 8, 2, 3, 3, 0]",,,"[4, 6, 8, 2, 3, 3, 0]",4,0,0,3.7142857142857144
153,"[0, 0, 3, 4, 4, 3, 3, 4, 4, 5, 0, 6, 8, 6, 2, 0, 5, 7, 9]",,,"[0, 0, 3, 4, 4, 3, 3, 4, 4, 5, 0, 6, 8, 6, 2, 0, 5, 7, 9]",0,9,9,3.8421052631578947
154,[1],,,[1],1,1,1,1.0
155,"[6, 3, 4, 8, 1, 0, 9, 9, 4, 6, 7, 2, 4, 1, 9, 9, 0]",,,"[6, 3, 4, 8, 1, 0, 9, 9, 4, 6, 7, 2, 4, 1, 9, 9, 0]",6,0,0,4.823529411764706
156,"[2, 0, 3, 4, 8, 1, 6, 7, 9, 0, 2]",,,"[2, 0, 3, 4, 8, 1, 6, 7, 9, 0, 2]",2,2,2,3.8181818181818183
157,"[7, 5, 2, 0, 9, 1, 1, 4, 6, 4, 5, 0, 2, 8, 8, 1, 5, 7, 7, 6]",,,"[7, 5, 2, 0, 9, 1, 1, 4, 6, 4, 5, 0, 2, 8, 8, 1, 5, 7, 7, 6]",7,6,6,4.4
158,[],,,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty or the value is not in the array,error! the array is empty
159,"[7, 5, 4, 5, 6, 4, 6, 3, 3, 1, 7, 8]",,,"[7, 5, 4, 5, 6, 4, 6, 3, 3, 1, 7, 8]",7,8,8,4.916666666666667
160,"[3, 3, 2, 1, 1, 7, 9, 4, 6, 3, 4]",,,"[3, 3, 2, 1, 1, 7, 9, 4, 6, 3, 4]",3,4,4,3.909090909090909
161,"[6, 8]",,,"[6, 8]",6,8,8,7.0
162,"[0, 9, 8, 3, 3, 4, 1, 8]",,,"[0, 9, 8, 3, 3, 4, 1, 8]",0,8,8,4.5
163,"[1, 4, 0, 5, 6, 0]",,,"[1, 4, 0, 5, 6, 0]",1,0,0,2.6666666666666665
